COUNTRY,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
REGION: World,...,16,15,15,15,13,11,11,10,10,9,9,9,9
REGION: Arab States,...,21,20,19,17,16,15,15,14,14,13,12,11,11
Algeria,...,12,11,8,7,6,5,5,6,6,5,3,1,1
Bahrain,-,1,...,...,...,...,...,...,...,...,...,...,...,...
Djibouti,...,75,74,72,70,...,66,63,59,54,49,49,...,41
Egypt,...,5,4,3,2,2,1,3,2,2,...,2,...,3
Iraq,...,11,12,...,...,6,8,...,...,8,...,...,...,...
Jordan,...,3,1,...,1,1,1,1,1,1,1,...,3,2
Kuwait,...,-,-,-,...,1,1,1,...,2,...,...,...,...
Lebanon,-,...,...,...,...,2,4,8,11,11,10,10,8,7
Libya,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Mauritania,40,40,40,37,37,34,28,29,26,25,29,30,29,28
Morocco,34,29,24,20,16,15,15,14,13,11,10,10,6,3
Oman,18,16,14,12,14,18,...,...,...,...,...,4,...,3
Palestine,...,7,8,11,12,13,15,17,16,16,14,12,11,10
Qatar,1,5,5,4,3,6,...,4,...,...,...,...,...,...
Saudi Arabia,...,...,...,...,...,...,...,...,...,...,...,...,8,8
Sudan (pre-secession),...,...,...,...,...,...,...,...,...,...,...,...,...,...
Syrian Arab Republic,3,3,3,2,2,2,1,1,1,1,1,1,1,...
Tunisia,...,4,4,3,2,2,1,3,1,1,-,-,-,-
United Arab Emirates,11,15,...,...,...,10,7,5,6,2,...,5,4,4
Yemen,...,42,...,34,...,28,25,23,...,...,23,...,18,...
REGION: Central and Eastern Europe,...,7,6,4,3,4,4,5,5,4,4,4,4,4
Albania,...,7,6,7,...,9,...,...,...,...,...,...,...,...
Belarus,...,...,...,4,6,6,8,10,10,10,...,8,9,9
Bosnia and Herzegovina,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Bulgaria,2,2,2,2,2,3,3,6,8,4,2,1,1,2
Croatia,15,7,6,6,5,4,...,1,1,1,4,9,5,2
Czech Republic,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Estonia,-,-,-,-,-,3,2,3,3,4,3,3,3,...
Hungary,4,4,3,3,3,4,4,4,3,3,2,1,2,2
Latvia,...,3,...,...,...,...,...,...,...,...,3,2,2,2
Lithuania,3,3,2,2,2,4,7,6,4,1,1,1,1,1
Montenegro,...,...,...,...,...,3,...,2,2,4,4,...,...,8
Poland,...,3,3,3,3,4,4,5,5,5,5,4,4,4
Republic of Moldova,...,...,7,4,4,3,3,7,9,10,10,10,10,9
Romania,9,12,11,9,4,-,1,1,5,6,6,6,12,12
Russian Federation,...,...,...,...,...,...,...,...,7,7,6,4,...,...
Serbia,...,...,...,...,...,...,...,-,-,2,2,4,5,6
Slovakia,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Slovenia,3,4,5,4,4,3,2,2,3,3,3,3,3,3
The former Yugoslav Republic of Macedonia,7,9,5,7,8,9,8,7,7,7,7,5,2,...
Turkey,...,6,4,4,3,3,3,2,2,1,1,4,3,4
Ukraine,...,...,...,...,5,10,10,9,10,11,10,9,6,3
REGION: Central Asia,...,6,6,5,5,6,6,6,5,6,6,6,6,5
Armenia,...,...,...,...,13,14,18,12,10,7,...,...,...,...
Azerbaijan,11,8,12,15,15,17,16,16,16,17,16,14,15,13
Georgia,...,...,...,...,...,...,9,9,5,5,...,1,...,1
